;M;F;?;Year;LAT;VERN;
20433;1;;;;1;;Dentur scriptori pro penna celica regna
20434;;;1;;1;;
20435;;;1;;1;;
20436;;;1;;1;;
20437;;;1;;1;;
20438;;;1;;1;;
20439;;;1;;1;;
20440;;;1;;1;;
20441;;;1;;1;;
20442;;;1;;1;;
20443;;;1;;1;;
20444;;;1;;1;;
20445;;;1;;1;;
20446;;;1;;1;;
20447;;;1;;1;;
20448;;;1;;1;;
20449;;;1;;1;;
20450;;;1;;1;;
20451;;;1;;1;;
20452;;;1;;1;;
20453;;;1;;1;;
20454;;;1;;1;;
20455;;;1;;1;;
20456;;;1;;1;;
20457;;;1;;1;;
20458;;;1;;1;;
20459;;;1;;1;;
20460;;;1;;1;;
20461;;;1;;1;;
20462;;;1;;1;;
20463;;;1;;1;;
20464;;;1;;1;;
20465;1;;;1400-t;1;;Set pro me scriptore deum exorare
20466;;;1;;1;;
20467;;;1;;1;;
20468;;;1;;1;;
20469;;;1;;1;;
20470;;;1;;1;;
20471;;;1;;1;;
20472;;;1;;1;;
20473;;;1;;1;;
20474;;;1;;1;;
20475;;;1;;1;;
20476;;;1;;1;;
20477;;;1;;1;;
20478;;;1;;1;;
20479;;;1;;1;;
20480;;;1;;1;1;
20481;;;1;;1;;
20482;;;1;;1;;
20483;;;1;;1;;
20484;;;1;;1;;
20485;;;1;;1;;
20486;;;1;;1;;
20487;;;1;;1;;
20488;;;1;;1;;
20489;;;1;;1;;
20490;;;1;;1;;
20491;;;1;;1;;
20492;1;;;1465;1;;scriptus et feliciter completus per quendam monachum
20493;;;1;;1;;
20494;;;1;;1;;
20495;;;1;;1;;
20496;;;1;;1;;
20497;;;1;;1;;
20498;;;1;;1;;
20499;;;1;;1;;
20500;;;1;;1;;
20501;;;1;;1;;
20502;;;1;;1;;
20503;;;1;;1;;
20504;;;1;;1;;
20505;;;1;;1;;
20506;;;1;;1;;
20507;;;1;;1;;
20508;;;1;;1;;
20509;;;1;;1;;
20510;;;1;;1;;
20511;;;1;;1;;
20512;;;1;;1;;
20513;;;1;;1;;
20514;;;1;;1;;
20515;;;1;;1;;
20516;;;1;;1;;
20517;;;1;;1;;
20518;;;1;;1;;
20519;;;1;;1;;
20520;;;1;;1;;
20521;;;1;;1;;
20522;;;1;;1;;
20523;;;1;;1;;
20524;1;;;800-t;1;;Orate pro scriptore
20525;;;1;;1;;
20526;;;1;;1;;
20527;;;1;;1;;
20528;;;1;;1;;
20529;;;1;;1;;
20530;;;1;;1;;
20531;;;1;;1;;
20532;;;1;;1;;
20533;;;1;;1;;
20534;;;1;;1;;
20535;;;1;;1;;
20536;;;1;;1;;
20537;1;;;1300-t;1;;Scriptori requiem paradisi dat deus
20538;;;1;;1;;
20539;;;1;;1;;
20540;;;1;;1;;
20541;1;;;1400-t;1;;Deo laus nec associetur scriptoris fraus
20542;;;1;;1;;
20543;1;;;1412;1;;Oretis … pro scriptore unum Ave Maria
20544;;;1;;1;;
20545;;;1;;1;;
20546;;;1;;1;;
20547;;;1;;1;;
20548;;;1;;1;;
20549;;;1;;1;;
20550;;;1;;1;;
20551;;;1;;1;;
20552;;;1;;1;;
20553;;;1;;1;;
20554;;;1;;1;;
20555;;;1;;1;;
20556;;;1;;1;;
20557;;;1;;1;;
20558;;;1;;1;;
20559;;;1;;1;;
20560;1;;;1300-t;1;;scriptor tenuit bene pactum
20561;;;1;;;1;
20562;;;1;;;1;
20563;1;;;1410;;1;Der geb dem schreijber sein lon
20564;1;;;1200-t;;1;Der geschriben hat daz buch
20565;1;;;1400-t;;1;Bid voor den scrivere
20566;1;;;1300-t;;1;Der schreiber bleive vro und gesunt
20567;;;1;;;1;
20568;1;;;1398;;1;si in eweicheit vor wliken scrijver ic beghere werden ghebeden
20569;;;1;;;1;
20570;1;;;12-1300-t;;1;Das schreibers lon Das sint drei paun
20571;;;1;;1;;
20572;;;1;;1;;
20573;;;1;;;1;
20574;;;1;;1;;
20575;;;1;;1;;
20576;1;;;1236-37;1;;Qui scripsit scribat
20577;;;1;;1;;
20578;1;;;1450;1;;Detur cum pullo scriptori pulchra puella
20579;;;1;;1;;
20580;1;;;1300-t;1;;Detur pro pena scriptori plena lagena
20581;1;;;1300-t;1;;Detur pro pena scriptori pulchra puella
20582;1;;;1448;1;;Detur pro pena scriptori pulcra puela
20583;1;;;;1;;Detur pro pen(n)s scriptori meretrix magna
20584;1;;;1300-t;1;;Detur pro pen(n)a scriptori virgo Maria
20585;1;;;1300-t;1;;Detru pro penna scriptori nigra Rebecka (Ductrix sit penne sancta Maria mee)
20586;1;;;1200-t;1;;Detur pro penna scriptori pulchra femina
20587;1;;;1200-t;1;;Detur pro penna scriptori pulchra puella
20588;1;;;1342;1;;Detur pro penna scriptori pulchra puella
20589;1;;;1383;1;;Detur pro penna scriptori pulchra puella
20590;1;;;1400-t;1;;Detur scriptori pro pena gloria celi
20591;1;;;1400-t;1;;Detur scriptori pro pena lux paradisi
20592;1;;;1100-t;1;;dirige mentem et manus huius scriptoris…
20593;;;1;;1;;
20594;;;1;;1;;
20595;;;1;;1;;
20596;1;;;1458;1;;Deus libri huius scriptorem
20597;;;1;;1;;
20598;;;1;;1;;
20599;1;;;1400;1;;Deus, propicius esto michi peccatori
20600;;;1;;1;;
20601;;;1;;1;;
20602;;;1;;1;;
20603;;;1;;1;;
20604;;;1;;;1;
20605;;;1;;1;;
20606;1;;;;1;;Dextera scriptoris
20607;1;;;;1;;Dextera scriptoris
20608;1;;;;1;;Dextera scriptoris
20609;1;;;;1;;Dextera scriptoris
20610;1;;;;1;;Dextera scriptoris
20611;1;;;;1;;Dextera scriptoris
20612;1;;;;1;;Dextera scriptoris
20613;1;;;;1;;Dextera scriptoris
20614;1;;;;1;;Dextera scriptoris
20615;;;1;;1;;
20616;;;1;;1;;
20617;1;;;;1;;Dextera scriptoris
20618;1;;;;1;;Dextera scriptoris
20619;;;1;;1;;
20620;;;1;;1;1;
20621;1;;;;1;;qui scripsit
20622;1;;;;1;;qui scripsit
20623;1;;;;1;;Dexteram scriptoris
20624;;;1;;;1;
20625;;;1;;1;;
20626;;;1;;1;;
20627;1;;;1300-t;1;;Verba scriptoris
20628;;;1;;;1;
20629;;;1;;;1;
20630;;;1;;;1;
20631;;;1;;;1;
20632;;;1;;;1;
20633;;;1;;;1;
